Gene name, Transcript overall charge
YAL067C, 2
YAL064W-B, -3
YAL063C-A, 2
YAL062W, -6
YAL061W, 4
YAL060W, 3
YAL059W, 4
YAL058W, 2
YAL056W, -1
YAL055W, 4
YAL054C, -2
YAL053W, 1
YAL049C, 0
YAL047C, 3
YAL046C, 6
YAL044W-A, 4
YAL044C, 4
YAL043C, 0
YAL042W, 0
YAL041W, 2
YAL040C, 2
YAL039C, 0
YAL038W, 2
YAL037C-A, 2
YAL037W, -5
YAL036C, 0
YAL035W, -2
YAL034W-A, 1
YAL034C, 0
YAL033W, 1
YAL032C, 4
YAL031C, 4
YAL030W, -3
YAL028W, 1
YAL027W, 2
YAL025C, 1
YAL023C, 2
YAL022C, -1
YAL021C, -1
YAL020C, 1
YAL019W, -4
YAL018C, 1
YAL016W, 1
YAL015C, 6
YAL014C, -4
YAL013W, -4
YAL012W, 1
YAL011W, 2
YAL010C, 1
YAL009W, -4
YAL008W, 4
YAL007C, 1
YAL005C, 1
YAL003W, 0
YAL002W, -3
YAR002W, 7
YAR002C-A, 0
YAR003W, 0
YAR007C, 3
YAR008W, 2
YAR014C, -2
YAR015W, 1
YAR018C, 4
YAR019C, -1
YAR023C, 0
YAR027W, -4
YAR028W, -4
YAR029W, 1
YAR033W, -3
YAR035W, 2
YAR042W, 1
YBL107C, 0
YBL105C, 0
YBL104C, 1
YBL103C, -4
YBL102W, -2
YBL101C, 2
YBL100W-C, 3
YBL099W, 4
YBL095W, 3
YBL093C, -3
YBL092W, 10
YBL091C-A, 2
YBL091C, -5
YBL090W, 5
YBL089W, 2
YBL087C, 2
YBL086C, 4
YBL085W, 1
YBL082C, 1
YBL081W, -2
YBL080C, 6
YBL078C, 2
YBL076C, -1
YBL075C, 1
YBL074C, -2
YBL072C, 6
YBL071W-A, -7
YBL071C, 2
YBL069W, 1
YBL068W, -1
YBL064C, 4
YBL061C, 5
YBL060W, 1
YBL059C-A, 0
YBL058W, -2
YBL057C, 0
YBL056W, 0
YBL055C, 4
YBL054W, 2
YBL052C, 2
YBL051C, -4
YBL050W, 1
YBL049W, 0
YBL047C, 0
YBL046W, -2
YBL045C, 4
YBL043W, 1
YBL042C, -2
YBL041W, -2
YBL040C, 1
YBL039W-B, 3
YBL039C, 2
YBL038W, 3
YBL036C, -2
YBL035C, -2
YBL033C, -2
YBL032W, -1
YBL031W, -2
YBL030C, 2
YBL029C-A, -1
YBL028C, 7
YBL027W, 5
YBL026W, -1
YBL025W, 0
YBL024W, 6
YBL023C, -3
YBL022C, 5
YBL021C, -4
YBL020W, 1
YBL019W, -1
YBL018C, 2
YBL016W, 2
YBL015W, 5
YBL014C, -2
YBL011W, 3
YBL010C, -5
YBL009W, -2
YBL008W, 3
YBL007C, -1
YBL006C, -1
YBL005W, 7
YBL003C, 4
YBL002W, 3
YBL001C, -1
YBR001C, -3
YBR002C, 1
YBR003W, 7
YBR004C, 1
YBR005W, -1
YBR006W, 1
YBR007C, -2
YBR008C, 0
YBR009C, 8
YBR010W, 7
YBR011C, 2
YBR014C, 3
YBR015C, 4
YBR016W, 0
YBR017C, -1
YBR018C, 1
YBR019C, 0
YBR020W, -1
YBR021W, 3
YBR022W, 4
YBR023C, -6
YBR024W, 4
YBR025C, 3
YBR026C, 5
YBR028C, -2
YBR029C, -1
YBR030W, 2
YBR031W, 1
YBR032W, 1
YBR033W, 4
YBR034C, 0
YBR035C, -1
YBR036C, 1
YBR037C, 4
YBR038W, 2
YBR039W, 3
YBR041W, 2
YBR042C, 6
YBR043C, 0
YBR044C, 6
YBR046C, -1
YBR047W, 6
YBR048W, 1
YBR049C, -2
YBR050C, -6
YBR052C, -2
YBR053C, -1
YBR054W, 0
YBR055C, -2
YBR056W, 3
YBR056W-A, 2
YBR057C, -2
YBR058C, -3
YBR058C-A, 5
YBR059C, 1
YBR060C, -2
YBR061C, 4
YBR062C, -3
YBR063C, -3
YBR065C, -6
YBR066C, 2
YBR067C, 0
YBR068C, -2
YBR069C, -1
YBR070C, 2
YBR071W, 5
YBR072W, -4
YBR074W, 6
YBR077C, 3
YBR078W, 1
YBR079C, 0
YBR080C, 2
YBR082C, 0
YBR083W, -2
YBR084W, 4
YBR084C-A, 5
YBR085W, -1
YBR085C-A, 2
YBR086C, 0
YBR087W, 2
YBR088C, 0
YBR089C-A, 6
YBR091C, -1
YBR092C, 1
YBR093C, 1
YBR094W, -2
YBR095C, 1
YBR096W, 2
YBR098W, -3
YBR101C, -1
YBR102C, 6
YBR103W, -2
YBR104W, -5
YBR105C, 2
YBR106W, 2
YBR107C, 1
YBR108W, 1
YBR109C, -3
YBR110W, 0
YBR111C, 5
YBR111W-A, -1
YBR112C, -2
YBR114W, 6
YBR115C, -1
YBR118W, 3
YBR119W, 1
YBR120C, 2
YBR121C, 1
YBR122C, 3
YBR123C, -4
YBR125C, 0
YBR126C, 0
YBR127C, 0
YBR128C, 6
YBR129C, 0
YBR130C, 1
YBR131W, 0
YBR132C, -4
YBR133C, 6
YBR135W, 5
YBR137W, 2
YBR138C, -2
YBR139W, 2
YBR141C, 7
YBR142W, 5
YBR143C, 0
YBR145W, -1
YBR146W, 4
YBR147W, 2
YBR149W, 0
YBR151W, 1
YBR153W, -2
YBR154C, 2
YBR155W, 2
YBR156C, 6
YBR157C, 1
YBR158W, 3
