Gene name, Transcript overall hydropathy
YAL067C, 0.9000000000000004
YAL064W-B, -9.099999999999998
YAL063C-A, 2.399999999999996
YAL062W, -14.6
YAL061W, -10.099999999999996
YAL060W, -10.599999999999996
YAL059W, -6.700000000000001
YAL058W, 18.0
YAL056W, -30.799999999999997
YAL055W, -11.299999999999999
YAL054C, -19.000000000000004
YAL053W, 32.900000000000006
YAL049C, -8.799999999999997
YAL047C, -29.100000000000005
YAL046C, -10.100000000000001
YAL044W-A, -2.4999999999999996
YAL044C, 1.7999999999999998
YAL043C, -7.9
YAL042W, -9.9
YAL041W, -6.299999999999999
YAL040C, 3.5
YAL039C, -4.300000000000001
YAL038W, -4.699999999999999
YAL037C-A, 6.999999999999998
YAL037W, -14.800000000000002
YAL036C, -15.999999999999995
YAL035W, -47.099999999999994
YAL034W-A, -4.5
YAL034C, -16.8
YAL033W, 6.199999999999999
YAL032C, -13.1
YAL031C, 2.7000000000000006
YAL030W, -24.900000000000006
YAL028W, -22.200000000000003
YAL027W, 17.6
YAL025C, -3.2999999999999985
YAL023C, -22.200000000000006
YAL022C, -4.300000000000001
YAL021C, -25.500000000000004
YAL020C, -5.4
YAL019W, -19.900000000000002
YAL018C, 21.7
YAL016W, 1.5
YAL015C, -7.0
YAL014C, -6.100000000000003
YAL013W, -36.699999999999996
YAL012W, -8.199999999999998
YAL011W, -16.400000000000002
YAL010C, -6.1
YAL009W, -13.799999999999997
YAL008W, -1.5000000000000013
YAL007C, 44.89999999999999
YAL005C, 13.599999999999998
YAL003W, 0.39999999999999925
YAL002W, -25.2
YAR002W, -21.3
YAR002C-A, 38.599999999999994
YAR003W, -1.9999999999999996
YAR007C, -14.4
YAR008W, 9.299999999999999
YAR014C, -20.0
YAR015W, 8.600000000000001
YAR018C, -42.60000000000001
YAR019C, -14.699999999999998
YAR023C, 38.8
YAR027W, -19.8
YAR028W, -21.700000000000003
YAR029W, -12.399999999999999
YAR033W, -17.900000000000002
YAR035W, -9.899999999999999
YAR042W, 3.5999999999999974
YBL107C, -9.6
YBL105C, -9.799999999999999
YBL104C, -1.2000000000000002
YBL103C, -24.900000000000006
YBL102W, -27.10000000000001
YBL101C, -8.2
YBL100W-C, 11.499999999999998
YBL099W, 2.300000000000002
YBL095W, 16.299999999999997
YBL093C, -13.6
YBL092W, -23.2
YBL091C-A, -7.9
YBL091C, -14.4
YBL090W, 2.0999999999999988
YBL089W, 10.8
YBL087C, 1.499999999999997
YBL086C, -12.2
YBL085W, 2.9999999999999982
YBL082C, -32.6
YBL081W, -7.499999999999998
YBL080C, -1.8000000000000003
YBL078C, -35.3
YBL076C, -12.200000000000001
YBL075C, 10.4
YBL074C, 6.6
YBL072C, -28.099999999999994
YBL071W-A, -19.099999999999998
YBL071C, -23.299999999999994
YBL069W, -9.3
YBL068W, -8.2
YBL064C, -6.4
YBL061C, -16.700000000000006
YBL060W, -15.199999999999998
YBL059C-A, -1.3000000000000007
YBL058W, -0.8000000000000003
YBL057C, 7.000000000000002
YBL056W, -10.799999999999997
YBL055C, -1.9000000000000044
YBL054W, 5.0
YBL052C, -21.700000000000003
YBL051C, -17.1
YBL050W, -13.399999999999999
YBL049W, -5.3000000000000025
YBL047C, -9.300000000000002
YBL046W, -1.1
YBL045C, -6.500000000000002
YBL043W, -9.200000000000001
YBL042C, -16.6
YBL041W, -11.9
YBL040C, 22.700000000000003
YBL039W-B, -8.099999999999998
YBL039C, 24.799999999999997
YBL038W, 6.5
YBL036C, -18.8
YBL035C, -3.199999999999997
YBL033C, -28.599999999999998
YBL032W, -2.399999999999999
YBL031W, -38.400000000000006
YBL030C, -17.2
YBL029C-A, 11.199999999999998
YBL028C, -16.400000000000002
YBL027W, -3.1
YBL026W, 18.0
YBL025W, -5.9
YBL024W, -37.4
YBL023C, -54.199999999999996
YBL022C, -5.800000000000001
YBL021C, -35.10000000000001
YBL020W, -20.2
YBL019W, -10.300000000000002
YBL018C, -13.700000000000001
YBL016W, 0.7999999999999985
YBL015W, -5.400000000000002
YBL014C, 6.1999999999999975
YBL011W, -18.900000000000002
YBL010C, -19.200000000000003
YBL009W, -12.699999999999998
YBL008W, -15.799999999999995
YBL007C, 1.0999999999999994
YBL006C, 2.3999999999999977
YBL005W, -14.499999999999998
YBL003C, -16.599999999999998
YBL002W, -20.999999999999996
YBL001C, 20.400000000000002
YBR001C, -10.6
YBR002C, -6.1
YBR003W, -11.000000000000002
YBR004C, 35.6
YBR005W, -15.499999999999998
YBR006W, -18.5
YBR007C, -31.5
YBR008C, 8.5
YBR009C, -28.79999999999999
YBR010W, -34.1
YBR011C, -9.2
YBR014C, 25.099999999999998
YBR015C, 27.90000000000001
YBR016W, -26.699999999999996
YBR017C, 2.7999999999999985
YBR018C, -23.0
YBR019C, 6.299999999999999
YBR020W, -14.6
YBR021W, -19.0
YBR022W, -4.9
YBR023C, -27.4
YBR024W, -9.800000000000002
YBR025C, -25.300000000000004
YBR026C, -10.299999999999999
YBR028C, -16.8
YBR029C, -18.5
YBR030W, 1.6999999999999986
YBR031W, -0.600000000000001
YBR032W, 15.799999999999999
YBR033W, -26.600000000000005
YBR034C, -21.399999999999995
YBR035C, -18.099999999999998
YBR036C, 17.7
YBR037C, 6.699999999999999
YBR038W, -22.800000000000004
YBR039W, -2.7000000000000006
YBR041W, 33.2
YBR042C, 8.199999999999998
YBR043C, -19.6
YBR044C, -14.499999999999998
YBR046C, 0.6999999999999984
YBR047W, -4.100000000000001
YBR048W, -11.9
YBR049C, -21.0
YBR050C, -18.4
YBR052C, 22.499999999999996
YBR053C, -4.999999999999998
YBR054W, -9.8
YBR055C, -9.200000000000001
YBR056W, -16.2
YBR056W-A, -33.6
YBR057C, -23.300000000000004
YBR058C, 7.299999999999999
YBR058C-A, -23.200000000000003
YBR059C, -1.399999999999999
YBR060C, -9.700000000000001
YBR061C, -39.999999999999986
YBR062C, -33.9
YBR063C, -8.9
YBR065C, -20.5
YBR066C, -6.000000000000002
YBR067C, 32.3
YBR068C, -16.700000000000003
YBR069C, -9.2
YBR070C, 26.3
YBR071W, -39.7
YBR072W, -4.799999999999999
