Gene name, Transcript overall mass
YAL067C, 2825
YAL064W-B, 2415
YAL063C-A, 2830
YAL062W, 2644
YAL061W, 2706
YAL060W, 2733
YAL059W, 2948
YAL058W, 2741
YAL056W, 2685
YAL055W, 2521
YAL054C, 2520
YAL053W, 2592
YAL049C, 2421
YAL047C, 2734
YAL046C, 2803
YAL044W-A, 2631
YAL044C, 2791
YAL043C, 2587
YAL042W, 2650
YAL041W, 2488
YAL040C, 2582
YAL039C, 2479
YAL038W, 2613
YAL037C-A, 2617
YAL037W, 2675
YAL036C, 2649
YAL035W, 2887
YAL034W-A, 2529
YAL034C, 2629
YAL033W, 2779
YAL032C, 2563
YAL031C, 2468
YAL030W, 2635
YAL028W, 2420
YAL027W, 2535
YAL025C, 2760
YAL023C, 2467
YAL022C, 2454
YAL021C, 2582
YAL020C, 2480
YAL019W, 2460
YAL018C, 2329
YAL016W, 2165
YAL015C, 2717
YAL014C, 2705
YAL013W, 2634
YAL012W, 2553
YAL011W, 2555
YAL010C, 2814
YAL009W, 2412
YAL008W, 2748
YAL007C, 2529
YAL005C, 2411
YAL003W, 2508
YAL002W, 2588
YAR002W, 2652
YAR002C-A, 2502
YAR003W, 2676
YAR007C, 2678
YAR008W, 2734
YAR014C, 2503
YAR015W, 2481
YAR018C, 2925
YAR019C, 2589
YAR023C, 2723
YAR027W, 2531
YAR028W, 2549
YAR029W, 2988
YAR033W, 2513
YAR035W, 2732
YAR042W, 2550
YBL107C, 2647
YBL105C, 2689
YBL104C, 2736
YBL103C, 2735
YBL102W, 2700
YBL101C, 2529
YBL100W-C, 2730
YBL099W, 2543
YBL095W, 2656
YBL093C, 2725
YBL092W, 2751
YBL091C-A, 2668
YBL091C, 2559
YBL090W, 2689
YBL089W, 2324
YBL087C, 2330
YBL086C, 2737
YBL085W, 2437
YBL082C, 2702
YBL081W, 2666
YBL080C, 2668
YBL078C, 2818
YBL076C, 2649
YBL075C, 2455
YBL074C, 2536
YBL072C, 2553
YBL071W-A, 2792
YBL071C, 2724
YBL069W, 2662
YBL068W, 2533
YBL064C, 2705
YBL061C, 2687
YBL060W, 2512
YBL059C-A, 2711
YBL058W, 2615
YBL057C, 2605
YBL056W, 2535
YBL055C, 2687
YBL054W, 2328
YBL052C, 2539
YBL051C, 2462
YBL050W, 2468
YBL049W, 2604
YBL047C, 2659
YBL046W, 2529
YBL045C, 2608
YBL043W, 2579
YBL042C, 2515
YBL041W, 2506
YBL040C, 2606
YBL039W-B, 2804
YBL039C, 2274
YBL038W, 2654
YBL036C, 2702
YBL035C, 2469
YBL033C, 2621
YBL032W, 2450
YBL031W, 2671
YBL030C, 2431
YBL029C-A, 2567
YBL028C, 2537
YBL027W, 2495
YBL026W, 2759
YBL025W, 2666
YBL024W, 2708
YBL023C, 2849
YBL022C, 2617
YBL021C, 2546
YBL020W, 2588
YBL019W, 2582
YBL018C, 2852
YBL016W, 2649
YBL015W, 2761
YBL014C, 2300
YBL011W, 2521
YBL010C, 2533
YBL009W, 2761
YBL008W, 2886
YBL007C, 2688
YBL006C, 2446
YBL005W, 2594
YBL003C, 2163
YBL002W, 2367
YBL001C, 2451
YBR001C, 2499
YBR002C, 2600
YBR003W, 2694
YBR004C, 2728
YBR005W, 2615
YBR006W, 2681
YBR007C, 2662
YBR008C, 2713
YBR009C, 2335
YBR010W, 2541
YBR011C, 2733
YBR014C, 2632
YBR015C, 2764
YBR016W, 2522
YBR017C, 2618
YBR018C, 2765
YBR019C, 2361
YBR020W, 2589
YBR021W, 2580
YBR022W, 2636
