Gene name, Transcript overall hydropathy
YAL067C, 10.799999999999999
YAL064W-B, -4.000000000000002
YAL063C-A, 14.900000000000002
YAL062W, -11.9
YAL061W, -1.9
YAL060W, -5.399999999999999
YAL059W, -11.200000000000001
YAL058W, 9.099999999999998
YAL056W, -9.400000000000002
YAL055W, -16.400000000000006
YAL054C, -0.5000000000000004
YAL053W, 15.2
YAL049C, -2.1999999999999997
YAL047C, -9.799999999999999
YAL046C, 0.8999999999999999
YAL044W-A, -6.999999999999998
YAL044C, -7.700000000000001
YAL043C, -2.4
YAL042W, 0.8999999999999995
YAL041W, 2.2
YAL040C, 7.1
YAL039C, -8.000000000000002
YAL038W, -5.0
YAL037C-A, 1.0999999999999999
YAL037W, -4.4
YAL036C, 3.4000000000000004
YAL035W, -26.699999999999996
YAL034W-A, 0.19999999999999973
YAL034C, -10.899999999999999
YAL033W, 5.999999999999998
YAL032C, -12.199999999999998
YAL031C, -5.299999999999999
YAL030W, -4.6
YAL028W, -12.499999999999998
YAL027W, 13.5
YAL025C, 3.5999999999999996
YAL023C, -9.200000000000003
YAL022C, -6.4
YAL021C, -6.700000000000001
YAL020C, 6.0
YAL019W, -21.6
YAL018C, 12.799999999999999
YAL016W, -1.0000000000000004
YAL015C, -4.899999999999999
YAL014C, 1.4
YAL013W, -23.000000000000004
YAL012W, -6.300000000000001
YAL011W, -7.799999999999997
YAL010C, 2.9999999999999996
YAL009W, -6.6
YAL008W, 8.0
YAL007C, 11.5
YAL005C, 6.5
YAL003W, -2.900000000000001
YAL002W, -20.700000000000003
YAR002W, -12.9
YAR002C-A, 20.900000000000002
YAR003W, 10.700000000000001
YAR007C, -1.5999999999999992
YAR008W, 8.3
YAR014C, -20.0
YAR015W, 1.1999999999999995
YAR018C, -21.0
YAR019C, -10.2
YAR023C, 27.900000000000002
YAR027W, -15.6
YAR028W, -15.6
YAR029W, -7.200000000000001
YAR033W, -13.699999999999998
YAR035W, -4.300000000000001
YAR042W, 2.4999999999999996
YBL107C, -8.299999999999999
YBL105C, -6.500000000000002
YBL104C, 0.5999999999999988
YBL103C, -19.700000000000003
YBL102W, -16.2
YBL101C, 2.0999999999999996
YBL100W-C, 10.899999999999999
YBL099W, 8.899999999999999
YBL095W, 8.100000000000001
YBL093C, -3.1999999999999997
YBL092W, 1.2
YBL091C-A, 4.0
YBL091C, -7.1
YBL090W, 2.5999999999999996
YBL089W, 1.7999999999999996
YBL087C, -7.100000000000001
YBL086C, -18.400000000000002
YBL085W, -4.1
YBL082C, -22.700000000000003
YBL081W, 14.1
YBL080C, 8.6
YBL078C, -9.0
YBL076C, -4.9
YBL075C, 5.9
YBL074C, 6.300000000000001
YBL072C, -19.700000000000003
YBL071W-A, -9.4
YBL071C, -2.1
YBL069W, -11.399999999999999
YBL068W, -10.0
YBL064C, 3.8
YBL061C, -8.8
YBL060W, -4.9
YBL059C-A, -12.700000000000001
YBL058W, -7.099999999999998
YBL057C, -7.199999999999999
YBL056W, 5.8999999999999995
YBL055C, -0.2000000000000015
YBL054W, 9.3
YBL052C, -10.799999999999999
YBL051C, -9.5
YBL050W, -2.3000000000000003
YBL049W, -0.6000000000000005
YBL047C, 5.699999999999999
YBL046W, -4.500000000000002
YBL045C, 2.0000000000000004
YBL043W, -12.2
YBL042C, -6.0
YBL041W, -1.399999999999999
YBL040C, 2.4999999999999996
YBL039W-B, 0.1999999999999993
YBL039C, 16.4
YBL038W, 1.7999999999999994
YBL036C, -12.5
YBL035C, 8.5
YBL033C, -17.8
YBL032W, 5.199999999999999
YBL031W, -25.9
YBL030C, -3.1
YBL029C-A, 15.6
YBL028C, -0.9000000000000008
YBL027W, -7.499999999999998
YBL026W, 19.5
YBL025W, -10.2
YBL024W, -21.599999999999998
YBL023C, -35.4
YBL022C, -6.999999999999998
YBL021C, -14.1
YBL020W, -11.2
YBL019W, -4.5
YBL018C, -17.9
YBL016W, -1.3000000000000003
YBL015W, 1.3000000000000005
YBL014C, -4.300000000000001
YBL011W, -3.1
YBL010C, -11.0
YBL009W, -3.1
YBL008W, 5.199999999999999
YBL007C, 16.299999999999997
YBL006C, -4.0
YBL005W, -12.100000000000001
YBL003C, -7.700000000000001
YBL002W, -8.0
YBL001C, 15.000000000000002
YBR001C, 8.2
YBR002C, -8.5
YBR003W, -2.8000000000000003
YBR004C, 26.6
YBR005W, 3.5
YBR006W, -4.200000000000001
YBR007C, -12.799999999999999
YBR008C, -2.600000000000001
YBR009C, -9.400000000000002
YBR010W, -17.0
YBR011C, -7.5
YBR014C, 1.199999999999999
YBR015C, 5.1
YBR016W, -6.4
YBR017C, -10.700000000000001
YBR018C, -6.699999999999999
YBR019C, -6.799999999999999
YBR020W, -1.6000000000000019
YBR021W, -0.5000000000000009
YBR022W, 1.0000000000000002
YBR023C, -14.899999999999997
YBR024W, -9.300000000000002
YBR025C, -23.200000000000003
YBR026C, -3.2000000000000006
YBR028C, -2.2000000000000015
YBR029C, -18.2
YBR030W, -7.000000000000002
YBR031W, -1.0000000000000004
YBR032W, 17.7
YBR033W, -4.800000000000001
YBR034C, -4.6
YBR035C, -21.099999999999998
YBR036C, 11.800000000000002
YBR037C, -2.9
YBR038W, -5.4
YBR039W, 2.4
YBR041W, 21.499999999999993
YBR042C, -6.0
YBR043C, -8.499999999999998
YBR044C, -4.5
YBR046C, -7.499999999999998
YBR047W, 1.899999999999999
YBR048W, -8.1
YBR049C, -20.200000000000003
YBR050C, -4.300000000000001
YBR052C, 17.3
YBR053C, 5.4
YBR054W, -4.200000000000001
YBR055C, -14.0
YBR056W, -6.800000000000001
YBR056W-A, -20.200000000000003
YBR057C, -13.9
YBR058C, 7.9
YBR058C-A, -1.6999999999999997
YBR059C, -1.6
YBR060C, -8.4
YBR061C, -19.5
YBR062C, -14.0
YBR063C, -2.1
YBR065C, -19.4
YBR066C, -2.1
YBR067C, 16.9
YBR068C, -2.4999999999999996
YBR069C, -0.8000000000000003
YBR070C, 14.400000000000002
YBR071W, -17.3
YBR072W, 5.699999999999999
YBR074W, 6.799999999999997
YBR077C, 0.2999999999999994
YBR078W, 1.5999999999999996
YBR079C, -9.599999999999998
YBR080C, 5.3999999999999995
YBR082C, -6.199999999999999
YBR083W, -14.499999999999998
YBR084W, 5.9
YBR084C-A, -7.499999999999998
YBR085W, -20.0
YBR085C-A, -7.8000000000000025
YBR086C, -4.9
YBR087W, -10.500000000000005
YBR088C, 0.6999999999999997
YBR089C-A, -13.699999999999998
YBR091C, 1.599999999999999
YBR092C, 16.099999999999998
YBR093C, 16.399999999999995
YBR094W, -3.2999999999999994
YBR095C, -7.599999999999998
YBR096W, 16.0
YBR098W, -1.1
YBR101C, -0.3000000000000007
YBR102C, -5.6
YBR103W, -0.10000000000000009
YBR104W, -2.900000000000001
YBR105C, -0.19999999999999973
YBR106W, 8.600000000000001
YBR107C, 3.3999999999999977
YBR108W, -10.8
YBR109C, -4.300000000000001
YBR110W, 11.899999999999999
YBR111C, 11.899999999999999
YBR111W-A, -7.199999999999999
YBR112C, -8.8
YBR114W, -16.6
YBR115C, -5.5
YBR118W, -4.4
YBR119W, 2.599999999999999
YBR120C, -2.599999999999999
YBR121C, -5.899999999999999
YBR122C, 6.300000000000001
YBR123C, 3.799999999999999
YBR125C, -0.40000000000000124
YBR126C, -7.199999999999999
YBR127C, 11.1
YBR128C, -5.700000000000001
YBR129C, 3.9999999999999996
YBR130C, -19.400000000000002
YBR131W, 2.4
YBR132C, -13.3
YBR133C, 3.9
YBR135W, -14.1
YBR137W, 2.399999999999999
YBR138C, -9.6
YBR139W, 12.3
YBR141C, -12.6
YBR142W, -22.299999999999997
YBR143C, -9.799999999999999
YBR145W, -11.700000000000003
YBR146W, 1.7999999999999994
YBR147W, 11.899999999999999
YBR149W, 1.4999999999999998
YBR151W, -1.6999999999999997
YBR153W, 4.1
YBR154C, -24.400000000000002
YBR155W, -3.4999999999999996
YBR156C, -8.799999999999999
YBR157C, -26.499999999999996
YBR158W, -8.299999999999999
