Gene name, Transcript overall charge
YAL067C, -1
YAL064W-B, -1
YAL063C-A, 1
YAL062W, -2
YAL061W, 2
YAL060W, 2
YAL059W, 2
YAL058W, 1
YAL056W, -2
YAL055W, 3
YAL054C, 1
YAL053W, 1
YAL049C, 1
YAL047C, 4
YAL046C, 2
YAL044W-A, 1
YAL044C, 3
YAL043C, -2
YAL042W, 1
YAL041W, 1
YAL040C, 1
YAL039C, 0
YAL038W, 1
YAL037C-A, 2
YAL037W, -4
YAL036C, 1
YAL035W, 4
YAL034W-A, 1
YAL034C, -1
YAL033W, 3
YAL032C, 3
YAL031C, 3
YAL030W, -1
YAL028W, 2
YAL027W, 1
YAL025C, -2
YAL023C, 1
YAL022C, -1
YAL021C, -1
YAL020C, 0
YAL019W, -3
YAL018C, 0
YAL016W, 1
YAL015C, 2
YAL014C, -2
YAL013W, -2
YAL012W, -1
YAL011W, 2
YAL010C, 0
YAL009W, -3
YAL008W, 1
YAL007C, 1
YAL005C, 0
YAL003W, -1
YAL002W, -1
YAR002W, 5
YAR002C-A, 0
YAR003W, -1
YAR007C, 0
YAR008W, -1
YAR014C, -2
YAR015W, -1
YAR018C, 3
YAR019C, -1
YAR023C, 0
YAR027W, -1
YAR028W, -1
YAR029W, 2
YAR033W, -1
YAR035W, 2
YAR042W, -2
YBL107C, 1
YBL105C, 0
YBL104C, 3
YBL103C, -3
YBL102W, -3
YBL101C, 2
YBL100W-C, 1
YBL099W, 2
YBL095W, 2
YBL093C, -1
YBL092W, 3
YBL091C-A, 2
YBL091C, -3
YBL090W, 3
YBL089W, 1
YBL087C, 1
YBL086C, 4
YBL085W, 0
YBL082C, -2
YBL081W, 0
YBL080C, 2
YBL078C, 1
YBL076C, 0
YBL075C, 0
YBL074C, 0
YBL072C, 4
YBL071W-A, -5
YBL071C, 2
YBL069W, 0
YBL068W, -2
YBL064C, 2
YBL061C, 2
YBL060W, 1
YBL059C-A, 1
YBL058W, -3
YBL057C, 0
YBL056W, -1
YBL055C, 2
YBL054W, 1
YBL052C, -1
YBL051C, -2
YBL050W, 0
YBL049W, 0
YBL047C, 1
YBL046W, -3
YBL045C, 2
YBL043W, -1
YBL042C, -2
YBL041W, -2
YBL040C, 0
YBL039W-B, -1
YBL039C, 1
YBL038W, 1
YBL036C, -2
YBL035C, 0
YBL033C, -1
YBL032W, -1
YBL031W, -2
YBL030C, 1
YBL029C-A, 1
YBL028C, 3
YBL027W, 3
YBL026W, 1
YBL025W, -1
YBL024W, 5
YBL023C, 2
YBL022C, 3
YBL021C, -1
YBL020W, 2
YBL019W, -2
YBL018C, 2
YBL016W, 2
YBL015W, 2
YBL014C, -2
YBL011W, 1
YBL010C, -2
YBL009W, -2
YBL008W, 3
YBL007C, 1
YBL006C, -1
YBL005W, 5
YBL003C, 2
YBL002W, 1
YBL001C, 0
YBR001C, -1
YBR002C, -1
YBR003W, 3
YBR004C, 0
YBR005W, -2
YBR006W, 2
YBR007C, 1
YBR008C, 2
YBR009C, 3
YBR010W, 4
YBR011C, 2
YBR014C, 3
YBR015C, 3
YBR016W, -1
YBR017C, -1
YBR018C, -2
YBR019C, -1
YBR020W, 0
YBR021W, 0
YBR022W, 1
YBR023C, -4
YBR024W, 3
YBR025C, 2
YBR026C, 2
YBR028C, -1
YBR029C, 0
YBR030W, 1
YBR031W, 2
YBR032W, 1
YBR033W, 2
YBR034C, 1
YBR035C, 0
YBR036C, 0
YBR037C, 3
YBR038W, 0
YBR039W, 1
YBR041W, 0
YBR042C, 5
YBR043C, 0
YBR044C, 3
YBR046C, 1
YBR047W, 3
YBR048W, -1
YBR049C, 1
YBR050C, -2
YBR052C, 1
YBR053C, -3
YBR054W, 0
YBR055C, -2
YBR056W, 2
YBR056W-A, 2
YBR057C, -2
YBR058C, -2
YBR058C-A, 2
YBR059C, 1
YBR060C, -2
YBR061C, 2
YBR062C, -2
YBR063C, -1
YBR065C, -3
YBR066C, 0
YBR067C, 1
YBR068C, -2
YBR069C, -2
YBR070C, 1
YBR071W, 3
YBR072W, -1
YBR074W, 3
YBR077C, 3
YBR078W, 1
YBR079C, 0
YBR080C, 2
YBR082C, 2
YBR083W, -2
YBR084W, 1
YBR084C-A, 3
YBR085W, -1
YBR085C-A, 1
YBR086C, -1
YBR087W, 2
YBR088C, -2
YBR089C-A, 2
YBR091C, 1
YBR092C, 1
YBR093C, 1
YBR094W, -1
YBR095C, 2
YBR096W, 1
YBR098W, -2
YBR101C, 0
YBR102C, 2
YBR103W, -2
YBR104W, -2
YBR105C, 0
YBR106W, 0
YBR107C, 1
YBR108W, -1
YBR109C, -2
YBR110W, 0
YBR111C, 2
YBR111W-A, 0
YBR112C, -2
YBR114W, 3
YBR115C, 0
YBR118W, 2
YBR119W, 0
YBR120C, 0
YBR121C, 1
YBR122C, 3
YBR123C, -2
YBR125C, 0
YBR126C, 0
YBR127C, -1
YBR128C, 5
YBR129C, 0
YBR130C, -2
YBR131W, 1
YBR132C, -1
YBR133C, 2
YBR135W, 4
YBR137W, 1
YBR138C, 0
YBR139W, 1
YBR141C, 4
YBR142W, 5
YBR143C, -3
YBR145W, 1
YBR146W, 3
YBR147W, 2
YBR149W, -1
YBR151W, 3
YBR153W, -2
YBR154C, -1
YBR155W, 0
YBR156C, 3
YBR157C, 1
YBR158W, 1
YBR159W, -1
YBR160W, 1
YBR161W, 2
YBR162C, 1
YBR162W-A, 2
YBR163W, 2
YBR164C, 0
YBR165W, 3
YBR166C, -1
YBR167C, 4
YBR168W, 1
YBR169C, -1
YBR170C, 3
YBR171W, -1
YBR172C, 0
YBR173C, 0
YBR175W, 0
YBR176W, 2
YBR177C, 0
YBR179C, 0
YBR181C, 1
YBR182C-A, 1
YBR183W, 0
YBR185C, 1
YBR187W, 2
YBR188C, 0
YBR189W, 3
YBR191W, 4
YBR192W, -2
YBR193C, -1
YBR194W, 0
YBR195C, 0
YBR196C, 1
YBR196C-A, 1
YBR197C, 1
YBR198C, 1
YBR199W, 4
YBR200W, 3
YBR201W, -2
YBR201C-A, 1
YBR202W, 0
YBR203W, 1
YBR204C, 0
YBR207W, -2
YBR209W, 2
YBR210W, 0
YBR212W, 1
YBR213W, 2
YBR214W, 0
YBR215W, -1
YBR216C, -4
YBR217W, -2
YBR218C, 3
YBR220C, 2
YBR221C, 2
YBR222C, 0
YBR223C, 1
YBR227C, 2
YBR228W, 2
YBR229C, 1
YBR230C, 1
YBR230W-A, 0
YBR231C, -1
YBR233W, 0
YBR233W-A, -1
YBR234C, 1
YBR235W, 1
YBR236C, 1
YBR237W, -1
YBR238C, 1
YBR239C, -2
YBR241C, -1
YBR242W, 2
YBR243C, 1
YBR244W, -1
YBR246W, -3
YBR247C, 4
YBR248C, -1
YBR249C, -1
YBR251W, 3
YBR252W, 1
YBR253W, -1
YBR254C, 2
YBR255W, 2
YBR255C-A, 0
YBR256C, -1
YBR257W, 0
YBR258C, 0
YBR259W, 0
YBR260C, 0
YBR261C, 0
YBR262C, 2
YBR263W, 2
YBR264C, 0
YBR265W, -1
YBR267W, 0
YBR268W, 2
YBR269C, 2
YBR270C, 2
YBR271W, -3
YBR272C, -2
YBR273C, -2
YBR274W, 1
YBR276C, -1
YBR278W, 1
YBR279W, 1
YBR280C, -2
YBR281C, 1
YBR282W, 2
YBR283C, 1
YBR285W, 0
YBR286W, 2
YBR287W, 0
YBR288C, 0
YBR289W, 0
YBR290W, -3
YBR291C, 0
YBR296C, 0
YBR297W, 0
YBR298C, 3
YBR299W, -2
YCL064C, 1
YCL063W, -3
YCL059C, 2
YCL058W-A, 4
YCL057C-A, -1
YCL057W, 2
YCL056C, 1
YCL055W, -2
YCL054W, 4
YCL052C, 3
YCL051W, 2
YCL050C, -1
YCL049C, 1
YCL047C, 3
YCL045C, 0
YCL044C, 0
YCL043C, 1
YCL040W, -1
YCL039W, 2
YCL038C, -2
YCL037C, -1
YCL036W, 1
YCL035C, 2
YCL034W, 1
YCL033C, 2
YCL032W, -2
YCL031C, -1
YCL030C, -2
YCL029C, 2
YCL028W, -3
YCL027W, 0
YCL026C-B, 1
YCL026C-A, 0
YCL025C, 1
YCL021W-A, -2
YCL018W, 2
YCL017C, 2
YCL016C, 0
YCL012C, 2
YCL011C, -2
YCL010C, -2
YCL009C, 3
YCL008C, 0
YCL005W-A, 0
YCL005W, -1
YCL004W, 2
YCL002C, 0
YCL001W, -3
YCR002C, -1
YCR003W, 1
YCR004C, 1
YCR005C, 1
YCR006C, 2
YCR007C, 0
YCR008W, -1
YCR009C, 1
YCR010C, -1
YCR011C, 3
YCR012W, 0
YCR015C, -2
YCR016W, 2
YCR017C, 1
YCR019W, -3
YCR020C, 1
YCR020C-A, -1
YCR020W-B, 0
YCR021C, 0
YCR022C, 0
YCR023C, 2
YCR024C, 2
YCR024C-B, -1
YCR024C-A, 0
YCR025C, 2
YCR026C, -4
YCR027C, -1
YCR028C, 2
YCR028C-A, 3
YCR030C, 0
YCR031C, 0
YCR034W, 0
YCR035C, -3
YCR036W, 0
YCR037C, 3
YCR043C, -1
YCR044C, 1
YCR046C, 2
YCR047C, -2
YCR048W, -3
YCR051W, -1
YCR052W, 0
YCR053W, 1
YCR054C, -2
YCR057C, 1
YCR059C, -5
YCR060W, 0
YCR061W, 1
YCR063W, 5
YCR065W, -3
YCR066W, -1
YCR067C, -1
YCR068W, 5
YCR069W, 1
YCR071C, 1
YCR072C, 2
YCR073W-A, 1
YCR075C, -2
YCR075W-A, -1
YCR076C, -2
YCR077C, -1
YCR079W, 2
YCR082W, 1
YCR083W, 2
YCR084C, 1
YCR086W, 0
YCR087C-A, -2
YCR088W, -1
YCR090C, 1
YCR091W, 0
YCR092C, 1
YCR094W, 3
YCR095C, 0
YCR095W-A, 2
YCR097W, -3
YCR098C, -3
YCR099C, 1
YCR102C, 0
YCR106W, 2
YDL243C, -1
YDL241W, 0
YDL240W, 1
YDL238C, 0
YDL237W, 1
YDL236W, 1
YDL235C, -1
YDL234C, 3
YDL233W, 0
YDL232W, -2
YDL230W, 2
YDL229W, -1
YDL227C, -1
YDL226C, -1
YDL225W, 0
YDL224C, 1
YDL222C, 2
YDL220C, -4
YDL219W, 2
YDL218W, 2
YDL217C, -1
YDL216C, 1
YDL215C, 1
YDL213C, 0
YDL212W, -1
YDL211C, 0
YDL209C, 2
YDL208W, 1
YDL207W, -1
YDL206W, 3
YDL205C, 1
YDL204W, 2
YDL203C, 0
YDL202W, 1
YDL201W, 1
YDL200C, -1
YDL199C, 2
YDL198C, 2
YDL197C, 1
YDL195W, 1
YDL193W, 1
YDL192W, 1
YDL191W, 1
YDL190C, -2
YDL189W, 0
YDL188C, -3
YDL186W, -2
YDL185W, 0
YDL184C, 7
YDL183C, 1
YDL182W, 1
YDL181W, 2
YDL180W, 2
YDL179W, -2
YDL178W, 2
YDL177C, 3
YDL176W, 1
YDL175C, -1
YDL174C, 3
YDL170W, 2
YDL169C, -1
YDL168W, 2
YDL167C, 0
YDL166C, 1
YDL165W, 1
YDL164C, 2
YDL161W, 3
YDL160C-A, 1
YDL160C, 0
YDL159W, 4
YDL157C, 0
YDL156W, 1
YDL155W, 2
YDL153C, 4
YDL150W, 2
YDL149W, -2
YDL148C, 2
YDL147W, 1
YDL146W, -2
YDL145C, 2
YDL144C, 1
YDL143W, 1
YDL142C, 0
YDL141W, 0
YDL139C, 6
YDL138W, 1
YDL137W, 1
YDL136W, 1
YDL135C, -3
YDL134C, -4
YDL133C-A, 7
YDL133W, -2
YDL131W, -2
YDL130W-A, 3
YDL130W, -1
YDL129W, 1
YDL128W, -1
YDL127W, 0
YDL126C, -1
YDL125C, -1
YDL124W, 1
YDL123W, 0
YDL122W, -1
YDL121C, 0
YDL120W, 3
YDL119C, 1
YDL117W, 1
YDL116W, -1
YDL115C, -1
YDL113C, -3
YDL112W, 1
YDL111C, 0
YDL110C, 2
YDL108W, 1
YDL107W, 2
YDL106C, -3
YDL105W, 4
YDL104C, 2
YDL103C, -1
YDL101C, 2
YDL100C, -1
YDL099W, -2
YDL098C, 2
YDL097C, -1
YDL095W, 0
YDL093W, 1
YDL092W, 0
YDL091C, 1
YDL090C, 4
YDL089W, -2
YDL088C, 1
YDL087C, -1
YDL086W, -1
YDL085C-A, 2
YDL085W, 2
YDL084W, -4
YDL083C, 0
YDL082W, 2
YDL081C, -1
YDL080C, 1
YDL079C, 2
YDL078C, 1
YDL076C, -1
YDL075W, 0
YDL074C, 2
YDL073W, 0
YDL072C, 0
YDL070W, 2
YDL069C, 2
YDL067C, 1
YDL066W, 2
YDL065C, -5
YDL064W, 0
YDL063C, 5
YDL061C, 1
YDL059C, 1
YDL057W, 2
YDL056W, 1
YDL055C, 1
YDL054C, 1
YDL053C, -1
YDL052C, 1
YDL051W, -3
YDL049C, 0
YDL048C, 0
YDL047W, -2
YDL046W, 2
YDL045W-A, 2
YDL045C, 0
YDL044C, 2
YDL043C, 1
YDL042C, 2
YDL040C, 5
YDL036C, 3
YDL035C, -1
YDL033C, 2
YDL031W, 3
YDL030W, 1
YDL029W, -1
YDL028C, -1
YDL027C, 2
YDL025C, 1
YDL024C, 1
YDL022W, 0
YDL021W, 0
YDL020C, 1
YDL019C, -3
YDL018C, 0
YDL017W, 0
YDL015C, 3
YDL014W, 2
YDL013W, 2
YDL012C, -1
YDL010W, 3
YDL008W, 2
YDL007W, 0
YDL006W, 0
YDL005C, 0
YDL004W, 2
YDL003W, 0
YDL002C, 1
YDL001W, -3
YDR001C, 0
YDR002W, -1
YDR003W, -1
YDR003W-A, 0
YDR005C, -2
YDR006C, 1
YDR007W, 0
YDR009W, 0
YDR010C, -3
YDR011W, 0
YDR012W, 2
YDR013W, 0
YDR014W-A, 3
YDR016C, -2
YDR018C, 5
YDR019C, 4
YDR020C, 1
YDR021W, -2
YDR022C, 0
YDR023W, -2
YDR025W, -1
YDR026C, 0
YDR027C, 1
YDR028C, 0
YDR030C, -1
YDR031W, -4
YDR032C, 1
YDR033W, 1
YDR034C, -3
YDR034W-B, 4
YDR035W, 1
YDR036C, 2
YDR037W, 0
YDR041W, 2
YDR042C, 0
YDR043C, 0
YDR044W, 0
YDR045C, 0
YDR046C, 0
YDR047W, 0
YDR049W, 2
YDR050C, 1
YDR051C, -3
YDR052C, 2
YDR054C, 2
YDR055W, 1
YDR056C, 2
YDR057W, 1
YDR058C, 0
YDR059C, 2
YDR060W, -2
YDR061W, 2
YDR062W, 1
YDR063W, 0
YDR064W, 3
YDR065W, 2
YDR066C, 1
YDR067C, 0
YDR068W, -3
YDR069C, -1
YDR070C, 3
YDR071C, 1
YDR072C, 0
YDR073W, -1
YDR074W, 0
YDR075W, -1
YDR076W, 0
YDR077W, 1
YDR078C, 0
YDR079W, 2
YDR079C-A, 3
YDR080W, -1
YDR081C, 1
YDR082W, 1
YDR083W, -1
YDR084C, 0
YDR085C, -2
YDR086C, 0
YDR087C, 0
YDR088C, 1
YDR089W, 1
YDR090C, 0
YDR091C, 1
YDR092W, 2
YDR096W, -2
YDR097C, 2
YDR098C, -3
YDR099W, -1
