Gene name, Transcript overall size
YAL067C, 2292.0000000000005
YAL064W-B, 1770.3000000000002
YAL063C-A, 2256.3
YAL062W, 2073.4
YAL061W, 2112.7
YAL060W, 2198.0
YAL059W, 2340.5000000000005
YAL058W, 2407.5999999999995
YAL056W, 1816.2000000000003
YAL055W, 2047.5000000000005
YAL054C, 1848.9
YAL053W, 2224.7000000000003
YAL049C, 1793.6999999999998
YAL047C, 2200.9
YAL046C, 2180.2999999999997
YAL044W-A, 1953.4000000000003
YAL044C, 2240.4
YAL043C, 2030.2000000000003
YAL042W, 2062.0
YAL041W, 1851.0
YAL040C, 2145.7999999999997
YAL039C, 2119.2999999999997
YAL038W, 1985.1000000000004
YAL037C-A, 2191.1000000000004
YAL037W, 2006.4000000000003
YAL036C, 2072.5
YAL035W, 2201.5999999999995
YAL034W-A, 1940.8000000000004
YAL034C, 1995.9
YAL033W, 2452.6
YAL032C, 2022.2000000000003
YAL031C, 2144.7999999999997
YAL030W, 1901.9
YAL028W, 1799.9999999999998
YAL027W, 1975.9
YAL025C, 2131.7
YAL023C, 1640.7
YAL022C, 1949.9999999999995
YAL021C, 1860.3000000000002
YAL020C, 1923.5
YAL019W, 1792.8
YAL018C, 1731.3
YAL016W, 1562.8
YAL015C, 2198.1
YAL014C, 2096.4999999999995
YAL013W, 1911.1
YAL012W, 2068.2999999999997
YAL011W, 2012.9
YAL010C, 2238.7
YAL009W, 1790.2000000000003
YAL008W, 2269.2000000000003
YAL007C, 2180.2
YAL005C, 1837.1
YAL003W, 2082.2
YAL002W, 1879.6
YAR002W, 1984.6000000000001
YAR002C-A, 2120.8
YAR003W, 2190.1
YAR007C, 2013.7
YAR008W, 2269.1
YAR014C, 1796.9
YAR015W, 2048.5
YAR018C, 2325.0000000000005
YAR019C, 1945.4999999999998
YAR023C, 2284.5
YAR027W, 1973.3999999999999
YAR028W, 1969.6
YAR029W, 2334.6
YAR033W, 1972.0
YAR035W, 2107.6000000000004
YAR042W, 1945.9000000000003
YBL107C, 2064.5
YBL105C, 2165.4
YBL104C, 2205.2
YBL103C, 2025.6
YBL102W, 1892.3000000000004
YBL101C, 1965.9000000000003
YBL100W-C, 2153.7000000000003
YBL099W, 2025.8999999999996
YBL095W, 2218.7000000000003
YBL093C, 2058.1
YBL092W, 2136.2
YBL091C-A, 2210.0
YBL091C, 1862.0
YBL090W, 2241.7
YBL089W, 1966.7
YBL087C, 1849.0999999999995
YBL086C, 2173.0
YBL085W, 1838.9
YBL082C, 1929.1000000000004
YBL081W, 2023.2
YBL080C, 2206.2000000000003
YBL078C, 2267.7000000000003
YBL076C, 2000.5000000000002
YBL075C, 1841.9
YBL074C, 1970.0
YBL072C, 1874.6000000000001
YBL071W-A, 2139.7
YBL071C, 2144.3
YBL069W, 2082.6
YBL068W, 1972.9
YBL064C, 2153.0
YBL061C, 2105.5
YBL060W, 1940.4
YBL059C-A, 2096.5
YBL058W, 2097.3
YBL057C, 2140.5
YBL056W, 2073.9
YBL055C, 2040.1000000000001
YBL054W, 1832.0
YBL052C, 1921.1999999999998
YBL051C, 1809.8000000000004
YBL050W, 2053.8
YBL049W, 2082.6
YBL047C, 1986.1000000000001
YBL046W, 1874.0000000000002
YBL045C, 2094.2999999999997
YBL043W, 1980.9
YBL042C, 1805.5
YBL041W, 1768.1
YBL040C, 2038.3000000000004
YBL039W-B, 2209.2999999999997
YBL039C, 1836.8999999999999
YBL038W, 2206.3
YBL036C, 2033.6999999999998
YBL035C, 1817.1999999999998
YBL033C, 1948.7999999999997
YBL032W, 1944.0000000000005
YBL031W, 2061.6
YBL030C, 1818.2
YBL029C-A, 2007.0000000000002
YBL028C, 1896.0
YBL027W, 2020.5
YBL026W, 2302.9000000000005
YBL025W, 2074.1
YBL024W, 2225.5000000000005
YBL023C, 2043.2
YBL022C, 2083.2
YBL021C, 1822.5
YBL020W, 1957.9999999999998
YBL019W, 1813.2
YBL018C, 2357.4
YBL016W, 2188.2
YBL015W, 2176.2999999999997
YBL014C, 1762.3000000000002
YBL011W, 1949.4
YBL010C, 1945.7
YBL009W, 2030.7999999999997
YBL008W, 2258.2000000000003
YBL007C, 2212.2000000000003
YBL006C, 1858.4999999999998
YBL005W, 1986.9999999999998
YBL003C, 1501.6
YBL002W, 1742.5
YBL001C, 2106.5
YBR001C, 2041.6000000000001
YBR002C, 1924.4999999999998
YBR003W, 2060.4
YBR004C, 2288.4
YBR005W, 2046.3
YBR006W, 2002.0
YBR007C, 2017.0999999999997
YBR008C, 2178.4999999999995
YBR009C, 1578.6000000000001
YBR010W, 1893.9999999999998
YBR011C, 2041.3
YBR014C, 2221.9
YBR015C, 2399.7999999999997
YBR016W, 1733.8999999999999
YBR017C, 2114.6
YBR018C, 2055.5
YBR019C, 1985.3999999999999
YBR020W, 2057.4
YBR021W, 1912.2
YBR022W, 2108.4999999999995
YBR023C, 1905.0999999999997
YBR024W, 2146.7999999999997
YBR025C, 2156.7999999999997
YBR026C, 2099.4
YBR028C, 2163.2000000000003
YBR029C, 1897.8000000000002
YBR030W, 2247.2
YBR031W, 1890.0000000000002
YBR032W, 2276.1
YBR033W, 2025.5000000000002
YBR034C, 1930.2999999999997
YBR035C, 2109.8999999999996
YBR036C, 2113.6
YBR037C, 2176.2999999999997
YBR038W, 1888.0
YBR039W, 1985.9000000000003
YBR041W, 2159.3
YBR042C, 2274.2999999999997
YBR043C, 1753.2999999999997
YBR044C, 2156.9
YBR046C, 2181.2999999999997
YBR047W, 2300.6
YBR048W, 2064.7
YBR049C, 1799.7
YBR050C, 1960.8
YBR052C, 2151.1
YBR053C, 2049.9
YBR054W, 1971.7
YBR055C, 1994.0000000000002
YBR056W, 2170.5
YBR056W-A, 2340.1
YBR057C, 2135.2999999999997
YBR058C, 1913.1000000000001
YBR058C-A, 2099.2999999999997
YBR059C, 1717.0
YBR060C, 2022.3999999999999
YBR061C, 2198.2999999999997
YBR062C, 2020.9
YBR063C, 2095.2000000000003
YBR065C, 1955.3000000000002
YBR066C, 2022.7999999999997
YBR067C, 1923.3
YBR068C, 1836.9000000000003
YBR069C, 1834.2
YBR070C, 2059.2999999999997
YBR071W, 1886.2000000000003
YBR072W, 2134.3
YBR074W, 2359.0000000000005
YBR077C, 2135.2000000000003
YBR078W, 1954.9999999999998
YBR079C, 2004.0000000000002
YBR080C, 1928.7000000000003
YBR082C, 2006.1000000000001
YBR083W, 1968.1000000000001
YBR084W, 2068.9
YBR084C-A, 2020.5
YBR085W, 1924.6999999999998
YBR085C-A, 1969.6
YBR086C, 1943.4
YBR087W, 2172.7999999999997
YBR088C, 2234.8
YBR089C-A, 2033.7999999999997
YBR091C, 2027.0000000000002
YBR092C, 2052.2
YBR093C, 2027.9
YBR094W, 1945.5000000000002
YBR095C, 1977.9000000000003
YBR096W, 2239.5
YBR098W, 2049.1
YBR101C, 2037.3000000000002
YBR102C, 2263.9
YBR103W, 2303.1
YBR104W, 2091.9
YBR105C, 1996.1
YBR106W, 2172.1
YBR107C, 2222.2
YBR108W, 1974.6
YBR109C, 2049.0
YBR110W, 2427.3
YBR111C, 2232.7000000000003
YBR111W-A, 2117.4999999999995
YBR112C, 1865.1
YBR114W, 2110.1
YBR115C, 2162.2999999999997
YBR118W, 2021.6
YBR119W, 2005.8000000000002
YBR120C, 1959.7
YBR121C, 2027.1000000000001
YBR122C, 2007.1000000000001
YBR123C, 1911.7000000000005
YBR125C, 2066.1
YBR126C, 1719.7999999999997
YBR127C, 2128.5
YBR128C, 2116.2000000000003
YBR129C, 1831.0999999999997
YBR130C, 1798.8999999999996
YBR131W, 2153.8
YBR132C, 2044.6000000000001
YBR133C, 1987.8000000000002
YBR135W, 2228.0
YBR137W, 2248.2999999999997
YBR138C, 2106.6
YBR139W, 2342.1
YBR141C, 2091.0
YBR142W, 2016.8
YBR143C, 2264.4
YBR145W, 2132.4
YBR146W, 2119.5000000000005
YBR147W, 2078.9
YBR149W, 1838.1999999999998
YBR151W, 2131.4
YBR153W, 2095.7000000000003
YBR154C, 2181.7999999999997
YBR155W, 1821.3
YBR156C, 2215.3999999999996
YBR157C, 2217.6000000000004
YBR158W, 1983.2000000000003
YBR159W, 2192.1
YBR160W, 2029.1999999999998
YBR161W, 2265.3
YBR162C, 2077.7000000000003
YBR162W-A, 2071.2
YBR163W, 2198.0
YBR164C, 2047.8
YBR165W, 2362.0
YBR166C, 2168.6
YBR167C, 2108.5999999999995
YBR168W, 2036.0999999999995
YBR169C, 1806.6000000000001
YBR170C, 2136.5000000000005
YBR171W, 1990.6000000000001
YBR172C, 1993.3
YBR173C, 2003.8
YBR175W, 2024.8000000000002
YBR176W, 2193.6
YBR177C, 2181.4
YBR179C, 2013.8
YBR181C, 2006.0
YBR182C-A, 2471.2
YBR183W, 2030.4000000000003
YBR185C, 2079.9
YBR187W, 2049.5999999999995
YBR188C, 2110.0
YBR189W, 2018.5000000000002
YBR191W, 2159.2
YBR192W, 2154.7000000000003
YBR193C, 1714.3
YBR194W, 2063.9999999999995
YBR195C, 1905.2999999999995
YBR196C, 2024.1999999999998
YBR196C-A, 2418.0
YBR197C, 1949.3999999999999
YBR198C, 1872.5
YBR199W, 2274.3
YBR200W, 2031.8
YBR201W, 2040.8
YBR201C-A, 2110.2
YBR202W, 1946.2
YBR203W, 1880.4
YBR204C, 1954.9
YBR207W, 2400.2
YBR209W, 2317.0
YBR210W, 1916.7999999999997
YBR212W, 1875.4
YBR213W, 2206.8999999999996
YBR214W, 1716.0
YBR215W, 1869.2999999999997
YBR216C, 2110.3
YBR217W, 1970.0000000000005
YBR218C, 1926.7
YBR220C, 2017.6000000000001
YBR221C, 2044.5000000000002
YBR222C, 1816.1
YBR223C, 2047.1000000000001
YBR227C, 2036.1
YBR228W, 2221.2999999999997
YBR229C, 2394.2999999999997
YBR230C, 1674.5999999999997
YBR230W-A, 2090.7
YBR231C, 2093.8
YBR233W, 1852.6999999999998
YBR233W-A, 2116.1
YBR234C, 1973.4
YBR235W, 2076.5
YBR236C, 2108.7
YBR237W, 2059.0
YBR238C, 2122.5
YBR239C, 1882.1000000000001
YBR241C, 1895.2000000000003
YBR242W, 1793.3999999999999
YBR243C, 2288.9
YBR244W, 2069.2999999999997
YBR246W, 1946.1
YBR247C, 1988.3
YBR248C, 1978.7000000000003
YBR249C, 1880.4000000000005
YBR251W, 2270.1
YBR252W, 2067.2999999999993
YBR253W, 2120.2
YBR254C, 2100.1
YBR255W, 2045.3
YBR255C-A, 1978.6000000000001
YBR256C, 1980.9
YBR257W, 2209.5
YBR258C, 2112.4999999999995
YBR259W, 2003.6
YBR260C, 1794.2000000000003
YBR261C, 2002.3
YBR262C, 2096.8999999999996
YBR263W, 1945.1000000000001
YBR264C, 1943.9
YBR265W, 2047.2
YBR267W, 1782.6
YBR268W, 2075.3
YBR269C, 2090.0
YBR270C, 1806.6999999999998
